Code,Description
"10237","Atka Airport"
"10238","Akron Fulton International"
"10239","Kufra"
"10241","Akiak Airport"
"10242","Asahikawa Airport"
"10243","Akhiok Airport"
"10244","Auckland International"
"10245","King Salmon Airport"
"10246","Colorado Plains Regional"
"10247","Anaktuvuk Pass Airport"
"10248","Akure Airport"
"10249","Auki Airport"
"10250","Akrotiri Airport"
"10251","Aktyubinsk Airport"
"10252","Sittwe Airport"
"10253","Albertville Regional-Thomas J Brumlik Field"
"10254","Shelby County"
"10255","Huntsville Executive Airport Tom Sharp Jr"
"10256","Almaty Airport"
"10257","Albany International"
"10258","Alicante Elche"
"10259","Alpine Casparis Municipal"
"10260","Alta Airport"
"10261","Houari Boumediene"
"10262","Albany Airport"
"10263","Alice International"
"10264","Alexander Bay Airport"
"10265","Asela Airport"
"10266","Alamogordo White Sands Regional"
"10267","St. Louis Regional"
"10268","Waterloo Regional"
"10269","Aleppo International"
"10270","Alegrete Airport"
"10271","Alexandra Airport"
"10272","San Luis Valley Regional/Bergman Field"
"10273","Alenquer Airport"
"10274","Alula Airport"
"10275","Walla Walla Regional"
"10276","Thomas C. Russell Field"
"10277","Alexandria International"
"10278","Alitak Seaplane Base"
"10279","Rick Husband Amarillo International"
"10280","Ahmedabad Airport"
"10281","Ama Airport"
"10282","Amboin Airport"
"10283","Arba Minch Airport"
"10284","Selaparang"
"10285","Animas Air Park"
"10286","Puerto Armuelles Airport"
"10287","Queen Alia International"
"10288","Gratiot Community"
"10289","Mao Airport"
"10290","Ampanihy Airport"
"10291","Pattimura"
"10292","Schiphol"
"10294","Ames Municipal"
"10295","Ammaroo Station"
"10296","Ambatomainty Airport"
"10297","Anaheim-Disneyland HP"
"10298","Anniston Regional"
"10299","Ted Stevens Anchorage International"
"10300","Anderson Regional"
"10301","Angers Marce"
"10302","Andres Sabella International"
"10303","Angouleme Brie Champniers"
"10304","Aniak Airport"
"10305","Etimesgut"
"10306","Antsirabato"
"10307","Annette Island"
"10308","Angoche Airport"
"10309","Lee"
"10310","Deurne"
"10311","Andahuaylas Airport"
"10312","V C Bird International"
"10313","Anvik Airport"
"10314","Andoya"
"10317","Lima Allen County"
"10318","Ancona Falconara"
"10319","Aomori Airport"
"10320","Karpathos Airport"
"10321","Paso de Los Libres Airport"
"10322","Altoona-Blair County"
"10323","Sultan Abdul Halim"
"10324","Amook Bay Airport"
"10325","Centennial"
"10326","Apolo Airport"
"10327","Napa County"
"10328","San Juan Aposento Airport"
"10329","Naples Municipal"
"10330","Phillips AAF"
"10331","Apataki Airport"
"10332","Nampula Airport"
"10333","Alpena County Regional"
"10334","Apartado Airport"
"10335","April River Airport"
"10336","Marion County Brown Field"
"10337","Apple Valley Airport"
"10338","Faleolo International"
"10339","Hafr Al Batin"
"10340","King Hussein International"
"10342","Rodriguez Ballon International"
"10343","Saqani Airport"
"10344","Girdwood Airport"
"10345","Russellville Regional"
"10346","Dennis F Cantrell Field"
"10347","Acadiana Regional"
"10348","Ann Arbor Municipal"
"10349","Arctic Village Airport"
"10350","Arcadia Municipal"
"10351","Antonio/Nery/Juarbe Pol"
"10352","Walnut Ridge Regional"
"10353","Talagi"
"10354","Chacalluta"
"10355","Arusha Airport"
"10356","Armidale Airport"
"10357","Arlanda"
"10358","Aragip Airport"
"10359","Arauquita Airport"
"10360","Aragarcas Airport"
"10361","Watertown International"
"10362","Aracatuba Airport"
"10363","Lakeland/Noble F. Lee Memorial Field"
"10364","Arad International"
"10365","Asbury Park/Monmouth County"
"10366","Ararat Airport"
"10367","N'zeto Airport"
"10368","Assab International"
"10369","Ashgabat Airport"
"10370","Ascension Airport"
"10371","Fresh Creek"
"10372","Aspen Pitkin County Sardy Field"
"10373","Ashburton Airport"
"10374","Boire Field"
"10375","Ascension Aux Af"
"10376","Amami"
"10377","Yamoussoukro Airport"
"10378","Harrison County"
"10379","Asmara International"
"10380","Talladega Municipal"
"10381","Asosa Hidase"
"10382","Alice Springs Airport"
"10383","Austin Airport"
"10384","Kayseri Airport"
"10385","Astoria Regional"
"10386","Silvio Pettirossi International"
"10387","Aswan International"
"10388","John F Kennedy Memorial"
"10389","Ashley Municipal"
"10390","Anta Huaraz"
"10391","Atbara Airport"
"10392","Arthur's Town Airport"
"10393","Antlers Municipal"
"10394","Eleftherios Venizelos International"
"10395","Artigas International"
"10396","Atqasuk Edward Burnell Sr. Memorial"
"10397","Hartsfield-Jackson Atlanta International"
"10398","Altamira Airport"
"10399","Namatanai Airport"
"10400","Ohio University"
"10401","Aitape Airport"
"10402","Amritsar International"
"10403","Atar Airport"
"10404","Artesia Municipal"
"10405","Atmautluak Airport"
"10406","Casco Cove CGS"
"10407","Ati Airport"
"10408","Appleton International"
"10409","Watertown Regional"
"10410","Assiut Airport"
"10411","Reina Beatrix International"
"10412","Santiago Perez"
"10413","Augustus Downs Airport"
"10414","Augusta State"
"10415","Abu Dhabi International"
"10416","Alakanuk Airport"
"10417","Austin Municipal"
"10418","Auburn Municipal"
"10419","Auburn University Regional"
"10420","Aguan Papua N.G."
"10421","Hiva Oa/Atuona"
"10422","Aurillac Airport"
"10423","Austin - Bergstrom International"
"10424","Wausau Downtown"
"10425","Araguaina Airport"
"10426","Aneityum Airport"
"10427","Aurora Municipal"
"10428","Aviano AB"
"10430","Maximo Gomez"
"10431","Asheville Regional"
"10432","Avignon Caumont"
"10433","Avon Park Executive"
"10434","Wilkes Barre Scranton International"
"10435","Avalon Airport"
"10436","Marana Regional"
"10437","Catalina"
"10438","Lake Awasa"
"10439","Wake Island Airfield"
"10440","West Memphis Municipal"
"10441","Awar Airport"
"10442","Andrews County"
"10443","Ahwaz Airport"
"10444","Clayton J Lloyd"
"10445","Maxson Airfield"
"10446","Aramac Airport"
"10447","Dimokritos"
"10448","El Eden"
"10449","Chandler Field"
"10450","Spring Point Airport"
"10451","Altus/Quartz Mountain Regional"
"10452","Akita Airport"
"10453","Axum Atse Yohannes IV"
"10454","Neil Armstrong"
"10455","Angel Fire"
"10456","Anthony Lagoon Airport"
"10457","Coronel FAP Alfredo Mendivil Duarte"
"10458","Ayers Rock Connellan"
"10459","Ayr Airport"
"10460","Waycross-Ware County"
"10461","Antalya Airport"
"10462","Ayawasi Airport"
"10463","Valle"
"10464","H. A. Clark Memorial Field"
"10465","Glendale Municipal"
"10466","Phoenix - Mesa Gateway"
"10467","Shahid Sadooghi"
"10468","Pablo L. Sidar"
"10469","Kalamazoo/Battle Creek International"
"10470","El Catey International"
"10471","Biddeford Municipal"
"10472","Sugarloaf Regional"
"10473","Bialla Airport"
"10474","Beale AFB"
"10475","Barranca de Upia Airport"
"10476","Barksdale AFB"
"10477","Barcelonnette Airport"
"10478","Westfield Barnes Regional"
"10479","Baguio Airport"
"10480","Bahrain International"
"10481","Buenos Aires Airport"
"10482","Heydar Aliyev International"
"10483","Batman Airport"
"10484","Battle Mountain Airport"
"10485","Udorn AB"
"10486","Ernesto Cortissoz"
"10487","Baker AAF"
"10488","Barth Airport"
"10489","Bauru-Arealva"
"10490","Baotou Airport"
"10491","Mikhaylovka"
"10492","Maramures"
"10493","Balmaceda Airport"
"10494","Bay City Regional"
"10495","N Eng Heliport"
"10497","Bhubaneswar Airport"
"10498","Berbera International"
"10499","Cocoa Point"
"10500","Baillif"
"10501","Blackbushe Airport"
"10502","Berberati Airport"
"10503","Baneasa Aurel Vlaicu"
"10504","Wings Field"
"10505","Bambari Airport"
"10506","Zambezi Airport"
"10507","Gustavo Rizo"
"10508","Virginia Tech/Montgomery Executive"
