Code,Description
"11618","Newark Liberty International"
"11619","Excursion Inlet Seaplane Base"
"11620","Exeter Airport"
"11621","George Town Airport"
"11622","Yelimane Airport"
"11623","El Yopal Airport"
"11624","Key West International"
"11625","Ministro Pistarini"
"11626","Elazig Airport"
"11627","French Valley"
"11628","Farnborough Airport"
"11629","Vagar"
"11630","Fairbanks International"
"11631","Diego Jimenez Torres"
"11632","False Island Airport"
"11633","Falcon State Park"
"11634","Farmington Regional"
"11635","Lista"
"11636","Faro Airport"
"11637","Hector International"
"11638","Fresno Yosemite International"
"11639","Fairmount Island Airport"
"11640","Fakarava Airport"
"11641","Fayetteville Regional/Grannis Field"
"11642","Simmons AAF"
"11643","Ladd AAF"
"11644","Lubumbashi International"
"11645","Fort Bridger Airport"
"11646","Friday Harbor Seaplane Base"
"11647","Fornebu"
"11648","Glacier Park International"
"11649","Fresno Chandler Executive"
"11650","Flying Cloud"
"11651","Fiumicino"
"11652","Butts AAF"
"11653","Forde Airport"
"11654","Martinique Aime Cesaire"
"11655","Friedrichshafen Airport"
"11656","Frederick Municipal"
"11657","Frederick Regional"
"11658","Bandundu Airport"
"11659","Findlay Airport"
"11660","Fergana Airport"
"11661","Fernando de Noronha Airport"
"11662","Albertus"
"11663","Fremont Municipal"
"11664","Francis E. Warren AFB Heliport"
"11665","Saiss International"
"11666","RAF Fairford"
"11667","Fergus Falls Municipal-Einar Mickelson Field"
"11668","Wright-Patterson AFB"
"11669","Capital City"
"11670","Fderik Airport"
"11671","Fagali I"
"11673","Sierra Vista Municipal-Libby AAF"
"11674","Fire Cove Airport"
"11675","Elizabeth Field"
"11676","N'Djili International"
"11677","Fillmore Municipal"
"11678","Finschhafen Airport"
"11679","Fitzroy Crossing Airport"
"11680","Fujairah International"
"11681","Karlsruhe/Baden-Baden Airport"
"11682","Bangoka International"
"11683","Fukui Airport"
"11684","Venango Regional"
"11685","Fukushima Airport"
"11686","Zephyrhills Municipal"
"11687","Valkaria Airport"
"11688","Vosikas"
"11689","Flagler Executive"
"11690","Williston Municipal"
"11691","Gustavo Artunduaga Paredes"
"11692","Floriano Airport"
"11693","Fond Du Lac County"
"11694","Flensburg Schaeferhaus"
"11695","Flagstaff Pulliam"
"11696","Falls Bay Airport"
"11697","Fort Lauderdale-Hollywood International"
"11698","Hercilio Luz International"
"11699","Florence Regional"
"11700","Firenze"
"11701","Flinders Island Airport"
"11702","Flat Airport"
"11703","Flushing"
"11704","Sherman AAF"
"11705","Flores"
"11706","Fallon Municipal"
"11707","Formosa Airport"
"11708","Five Mile Camp Airport"
"11709","Cape Cod CGAS"
"11710","Kalemie Airport"
"11711","Four Corners Regional"
"11712","Muenster Osnabrueck"
"11713","Fort Madison Municipal"
"11714","Page Field"
"11715","Freetown Lungi"
"11716","Madeira"
"11717","Nimes Garons"
"11718","Pyongyang International"
"11719","Northern Colorado Regional"
"11720","Funter Bay"
"11721","Bishop International"
"11723","Fort Bragg Airport"
"11724","Changle"
"11725","Fort Dodge Regional"
"11726","Topeka Regional"
"11727","Foggia Airport"
"11728","Francis S. Gabreski"
"11730","Pinto Martins International"
"11731","Grand Bahama International"
"11732","Treasure Coast International"
"11733","Perry-Foley"
"11734","Patching Lake Airport"
"11735","San Nicolas Island NOLF"
"11736","Lilly Lake"
"11737","Trident Volcano"
"11738","Annex Creek Airport"
"11739","Davidson Creek Airport"
"11740","Snettisham Airport"
"11741","Fire Island Airport"
"11742","Georgetown Scott County Regional"
"11743","Greens Creek Airport"
"11744","Gull Cove Airport"
"11745","Flora Municipal"
"11747","Karta Lake Airport"
"11748","Manzanita Lake Airport"
"11749","Shrimp Bay Airport"
"11750","Dry Bay Airport"
"11751","Josephine Lake Airport"
"11754","Libby Airport"
"11755","Volcano Bay Airport"
"11756","Fort Glenn Airport"
"11757","Babe Islands Airport"
"11758","Kahli Cove Airport"
"11760","Frankfurt Main"
"11761","Tenente Lund Pressoto"
"11762","Friday Harbor Airport"
"11763","Rhein Main AFB"
"11764","Republic"
"11765","Forli Airport"
"11766","Fairmont Municipal"
"11767","Floro Airport"
"11768","Fresh Water Bay Airport"
"11769","Front Royal-Warren County"
"11770","Flores Airport"
"11771","Manas"
"11772","Francistown Airport"
"11773","Eastern Slopes Regional"
"11774","Figari Sud Corse"
"11775","Joe Foss Field"
"11776","Henry Post AAF"
"11777","Fort Scott Municipal"
"11778","Fort Smith Regional"
"11779","Saint Pierre"
"11780","Fort Stockton Pecos County"
"11781","Shizuoka Airport"
"11782","Fort Collins Airpark"
"11783","El Calafate Airport"
"11784","Front Range"
"11785","Godman AAF"
"11786","Fortuna Ledge Airport"
"11787","Marillac"
"11788","Masvingo International"
"11789","Fort Worth Meacham International"
"11790","Fulton County Airport-Brown Field"
"11791","Fuerteventura Airport"
"11792","Fukue Airport"
"11793","Fukuoka Airport"
"11794","Fullerton Municipal"
"11795","Funafuti International"
"11796","Futuna Pointe Vele"
"11797","Osprey Lodge Airport"
"11798","Baledogle Airport"
"11799","Baikonour Airport"
"11800","Sonora Municipal"
"11801","Fallbrook Community Airpark"
"11802","Hagadera"
"11803","Wickenburg Municipal"
"11804","Othello Municipal"
"11805","Byerley"
"11806","Amberley Airport"
"11810","Big Sky Field"
"11811","Aurora State"
"11812","Gansner Field"
"11813","Donlin Creek Mine Airport"
"11814","Three Forks Airport"
"11815","Rexburg-Madison County"
"11816","Latacunga Airport"
"11817","Las Palmas Airport"
"11818","Kern Valley"
"11819","Golden Creek Mine Airport"
"11820","Grace Harbor Airport"
"11821","Unuk River Airport"
"11822","Inigok"
"11823","Fort Wayne International"
"11824","Fort Worth NAS JRB/Carswell Field"
"11825","Farewell Airport"
"11826","Fort Worth Spinks"
"11827","Fort Lauderdale Executive"
"11828","Bullen Point AFS"
"11829","Nova Freixo Airport"
"11830","Frankfort Municipal"
"11831","Forest City Municipal"
"11832","Faya-Largeau Airport"
"11833","Fort Yukon Airport"
"11834","Drake Field"
"11835","Bristol Filton"
"11836","Barwick Lafayette"
"11837","West Georgia Regional - O V Gray Field"
"11838","Newnan Coweta County"
"11839","Gracias Airport"
"11840","Northeast Alabama Regional"
"11841","Matmata Northeast"
"11842","Montgomery County Airpark"
"11843","Yamagata Airport"
"11844","Edward G. Pitka Sr."
"11845","Gambell Airport"
"11846","Gan Island Airport"
"11847","Los Canos"
"11848","Gao Airport"
"11849","Garaina Airport"
"11850","Gap Tallard"
"11851","Guwahati International"
"11852","Gangaw Airport"
"11853","Gaya Airport"
"11854","Wattisham"
"11855","Goose Bay AAF"
"11856","Great Bend Municipal"
"11857","Sir Seretse Khama International"
"11858","Galesburg Municipal"
"11859","Galbraith Lake Airport"
"11860","Marie Galante Airport"
"11861","Gbangbatok Airport"
"11862","Walter J. Koladza"
"11863","Khashm El Girba Airport"
"11864","Guacamayas Airport"
"11865","Gillette Campbell County"
"11866","Guernsey Airport"
"11867","Garden City Regional"
"11868","Owen Roberts International"
"11869","Grand Canyon National Park"
"11870","Municipal"
"11871","Donaldson Field"
"11872","Gode Airport"
"11873","Golden Horn Lodge Seaplane Base"
"11874","Miguel Hidalgo Y Costilla International"
"11875","Gardner Municipal"
"11876","Gdansk Lech Walesa"
"11877","Gonder Atse Tewodros"
"11878","JAGS McCartney International"
"11879","Dawson Community"
"11880","Gladwin Zettel Memorial"
"11881","Magadan Airport"
"11882","Noumea Magenta"
"11883","Delaware Coastal"
"11884","Spokane International"
"11885","Ganes Creek Airport"
"11886","Santo Angelo Airport"
"11887","Gardermoen"
"11888","Cheddi Jagan International"
"11889","Rafael Cabrera"
"11890","General Santos Airport"
"11891","Geraldton Airport"
"11892","Gallivare Airport"
"11893","South Big Horn County"
"11894","Shelbyville Municipal"
"11895","Malmstrom AFB Heliport"
"11896","Togiak Fish Airport"
"11897","Griffith Airport"
"11898","Grand Forks International"
"11899","Floyd Bennett Memorial"
"11900","Grafton Airport"
"11901","Bartica Airport"
"11902","Granville Mont Saint Michel"
"11903","Grootfontein Airport"
"11904","Georgetown County"
"11905","East Texas Regional"
"11906","Gagnoa Airport"
"11907","Exuma International"
"11908","Wokal Field/Glasgow International"
"11909","Noumerat Moufdi Zakaria"
"11910","Governors Harbour Airport"
"11911","Great Harbour Cay Airport"
"11912","Ghat Airport"
"11913","Gualeguaychu Airport"
"11914","Gibraltar Airport"
"11915","Galeao Antonio Carlos Jobim International"
"11916","Gilgit Airport"
"11917","Gisborne Airport"
"11918","Gizan Saudia Arabia"
"11919","Guanaja"
"11920","Guajara Mirim"
"11921","Grand Junction Regional"
"11922","Goroka Airport"
"11923","Bonnie Doon"
"11924","Gulkana Airport"
"11926","Station Nord Airport"
"11927","Hyde Fjord Ice Strip"
"11928","Glasgow Airport"
"11929","Renner Field"
"11930","Golfito Airport"
"11931","Greenville Mid Delta"
"11932","Glen Innes Airport"
"11933","Gaalkacyo"
"11934","Glenormiston Airport"
"11935","Goulimime Airport"
"11936","Gloucestershire"
"11937","Glennallen Airport"
"11938","Gaylord Regional"
"11939","Scholes International at Galveston"
"11940","Gladstone Airport"
"11941","Golovin Airport"
"11942","Glasgow Municipal"
"11943","Gemena Airport"
"11944","Guerima Airport"
"11945","Gimpo International"
"11946","Granite Mountain AS"
"11947","Greenville Downtown"
"11948","Hrodna Airport"
"11949","Grenoble Isere"
"11950","Maurice Bishop International"
"11951","General Roca Airport"
"11952","Goodnews"
"11953","Gainesville Regional"
"11954","Genova/Sestri"
"11955","Goba Airport"
"11956","Nuuk Airport"
"11957","Goa Airport"
"11958","Nizhny Novgorod"
"11959","Gold Beach Municipal"
"11960","Goma Airport"
"11961","Groton-New London"
"11962","Goondiwindi Airport"
"11963","Gorakhpur Airport"
"11964","Gore Airport"
"11965","Gosford Airport"
"11966","Landvetter"
"11967","Garoua Airport"
"11968","Gove Airport"
"11969","Gorna Oryahovitsa Airport"
"11970","Guapi Airport"
"11971","Grand Prairie Municipal"
"11972","Baltra"
"11973","Gulfport-Biloxi International"
"11974","Grand Rapids/Itasca County-Gordon Newstrom Field"
"11975","Horning"
"11976","Germania"
"11977","Green Bay Austin Straubel International"
"11978","Greenwood County"
"11979","Gray AAF"
"11980","Central Nebraska Regional"
"11981","George Airport"
"11982","Robert Gray AAF"
"11983","Gerona Costa Brava"
"11984","Gurupi Airport"
"11985","Eelde"
"11986","Gerald R. Ford International"
"11987","Grosseto Airport"
"11988","Guarulhos Gov Andre Franco Montoro"
"11989","Graciosa Island Airport"
"11990","Granada Airport"
"11991","Graz Airport"
"11992","Seymour Johnson AFB"
"11993","Gothenburg City"
"11994","Goshen Municipal"
"11995","Piedmont Triad International"
"11996","Greenville-Spartanburg International"
"11997","Gustavus Airport"
"11999","Greater Southwest International"
"12000","San Jose Airport"
"12001","Genting Airport"
"12002","Groote Eylandt"
"12003","Great Falls International"
"12004","Sungei Tekai Airport"
"12005","Glentanner"
"12006","Djalaluddin"
"12007","Golden Triangle Regional"
"12008","Georgetown Municipal"
"12009","Holesov"
"12010","La Aurora International"
"12011","Guerrero Negro Airport"
"12012","Gunnison-Crested Butte Regional"
"12013","Goundam Airport"
"12014","Gunnedah Airport"
"12015","Almirante Cristobal Colon"
"12016","Guam International"
"12017","Jicalapa"
"12018","Gallup Municipal"
"12019","Guanare Airport"
"12020","Gurney"
"12021","Grissom ARB"
"12022","Gutersloh Airport"
"12023","Atyrau Airport"
"12024","Guymon Municipal"
"12025","Guiratinga Airport"
"12026","Geneva Airport"
"12027","Gordonsville Municipal"
"12028","Lee Gilmer Memorial"
"12029","Genesee County"
"12030","Governador Valadares Airport"
"12031","Majors"
"12032","Richards/Gebaur AFB"
"12033","Gavle Airport"
"12034","Gwadar International"
"12035","Gweru Thornhill"
"12038","Gwalior Airport"
"12039","Greenwood/Leflore"
"12040","Gwinner-Roger Melroe Field"
"12041","Glenwood Springs Municipal"
"12042","Sylt"
"12044","Carnmore"
"12045","Sayun International"
"12046","Mildenhall NAF"
"12047","Teniente Vidal"
"12048","Yagoua Ville"
"12049","Guayaramerin Airport"
"12050","Baku Metropolitan Area"
"12051","Jose Joaquin de Olmedo International"
"12052","General Jose Maria Yanez International"
"12053","Santa Genoveva"
"12054","Phoenix Goodyear"
"12055","Gary/Chicago International"
"12056","Gizo Airport"
"12057","Gaziantep Airport"
"12058","Marion County"
"12059","Hachijo Jima Island Airport"
"12060","Halmstad Airport"
"12061","Havasupai Airport"
"12062","Half Moon Bay Airport"
"12063","Prince Said Ibrahim"
"12064","Hannover Airport"
"12065","Meilan"
"12066","Hamburg Airport"
"12067","Noibai International"
"12068","Butler County Regional Hogan Field"
"12069","Long Island Airport"
"12070","Capital City"
"12071","Hail Airport"
"12072","Karmoy"
"12073","Jose Marti International"
"12074","Haycock Airport"
"12075","Hobart Airport"
"12076","Hanus Bay Airport"
"12077","Borg El Arab"
"12078","Hattiesburg Bobby L. Chain Municipal"
"12079","Hobart Bay Airport"
"12080","Harbour Island Airport"
"12081","Babelegi Heliport"
"12082","Al Batin"
"12083","Jim Hogg County"
"12084","Hood Bay Airport"
"12085","Howard County"
"12086","Shoal Cove Airport"
"12087","Holy Cross Airport"
"12088","Hidden Falls Airport"
"12089","Heidelberg AHP"
"12090","Hyderabad Airport"
"12091","Heringsdorf Airport"
"12092","Dillingham"
"12093","Hamadan Airport"
"12094","Yampa Valley"
"12095","Hoedspruit Airport"
"12096","Hat Yai International"
"12097","Herat Airport"
"12098","Herendeen Bay"
"12099","Heho Airport"
"12100","Heide Buesum"
"12101","Helsinki Vantaa"
"12102","Nikos Kazantzakis"
"12103","Hermiston Municipal"
"12104","Baita"
"12105","Herrera International"
"12106","Hardy-Anders Field Natchez-Adams County"
"12107","Haifa Airport"
"12108","Hartford Brainard"
"12109","Luogang"
"12110","Mackall AAF"
"12111","Hornafjordur"
"12112","Hammerfest Airport"
"12113","Egal International"
"12114","Hughenden Airport"
"12115","Xiaoshan"
"12116","Helgoland Duene"
"12117","Mae Hong Son Airport"
"12118","Korhogo Airport"
"12119","Hagerstown Regional-Richard A. Henson Field"
"12120","Hastings"
"12121","Mount Hagen Airport"
"12122","Hogatza Airport"
"12123","Hachinohe Airport"
"12124","Hilton Head Airport"
"12125","Frankfurt Hahn"
"12126","Kai Tak Heliport"
"12127","Jack Northrop Field/Hawthorne Municipal"
"12128","Hiawatha Municipal"
"12129","Range Regional"
"12130","Mount Washington Regional"
"12131","Hill AFB"
"12132","Lake Havasu City Airport"
"12133","Hiroshima Airport"
"12134","Daniel K Inouye International"
"12135","Sacheon AB"
"12136","Portland Hillsboro"
"12137","Honiara International"
"12138","Hayman Island Airport"
"12139","Khajuraho Airport"
"12140","Blytheville Municipal"
"12141","Healy River"
"12142","Hakodate Airport"
"12143","Hong Kong International"
"12144","Hokitika Airport"
"12145","Hoskins Airport"
"12146","Kaanapali Airport"
"12147","Hawkins Field"
"12148","Phuket International"
"12149","Hickory Regional"
"12150","Lanseria International"
"12151","Hailar Airport"
"12152","Hultsfred Airport"
"12153","Wheeling Ohio County"
"12154","Hollister Municipal"
"12155","Park Township"
"12156","Helena Regional"
"12157","Holbrook Municipal"
"12158","Halim Perdanakusuma International"
"12159","Hamilton Airport"
"12160","Hamilton Airport"
"12162","Krim Belkacem"
"12163","Holloman AFB"
"12164","General Ignacio P. Garcia International"
"12165","Homeshore Airport"
"12166","Hemet-Ryan"
"12167","Hanamaki Airport"
"12168","Billy Mitchell"
"12169","Tokyo International"
"12170","Hienghene/Henri Martinet"
"12171","Hoonah Airport"
"12173","Daniel K Inouye International"
"12174","Hana Airport"
"12175","Haines Airport"
"12177","Lea County Regional"
"12178","Hodeidah International"
"12179","Al Ahsa"
"12180","Frank Pais International"
"12181","Hao"
"12182","Hooker Creek Airport"
"12183","Holikachuk Airport"
"12184","Homer Airport"
"12185","Huron Regional"
"12187","Campbell AAF"
"12188","Hof Plauen"
"12189","Horta Airport"
"12190","Memorial Field"
"12191","William P Hobby"
"12192","Hovden"
"12193","Panama Pacifico International"
"12194","Salote Pilolevu"
"12195","Hooper Bay Airport"
"12196","Catbi International"
"12197","Westchester County"
"12198","Hampton Municipal"
"12199","Princeville"
"12200","Bowerman"
"12201","Taiping"
"12203","Robert Gabriel Mugabe International"
"12204","Hurghada International"
"12205","Kharkov Airport"
"12206","Valley International"
"12207","Boone County"
"12209","Linton-On-Ouse"
"12210","Shaoguan Airport"
"12211","Henderson Executive"
"12212","Hastings Municipal"
"12213","Huesca Airport"
"12214","Huslia Airport"
"12215","Ingalls Field"
"12216","Homestead ARB"
"12217","Huntsville International-Carl T Jones Field"
"12218","Kadala"
"12219","Hatfield Airport"
"12220","Hawthorne Industrial"
"12221","Hamilton Island Airport"
"12222","East Hampton Airport"
"12223","Tri-State/Milton J. Ferguson Field"
"12224","Hato Corozal Airport"
"12225","Redstone AAF"
"12226","Dr Hermenegildo Ortiz Quinones"
"12227","Humera Airport"
"12228","Terre Haute Regional"
"12229","Huehuetenango Airport"
"12230","Huahine Fare"
"12231","Phubai International"
"12232","Houlton International"
"12233","Houma Terrebonne"
"12234","Hualien Airport"
"12235","Hughes Airport"
"12236","Hutchinson Regional"
"12237","Alferez FAP David Figueroa Fernandini"
"12238","Hudiksvall Airport"
"12239","Bahias de Huatulco International"
"12240","Humberside Airport"
"12241","Analalava Airport"
"12242","Hervey Bay Airport"
"12243","Hopkinsville-Christian County"
"12244","Tweed New Haven"
"12245","Havre City-County"
"12246","Hartsville Regional"
"12247","Hayward Executive"
"12248","Hawk Inlet Airport"
"12250","Barnstable Municipal-Boardman/Polando Field"
"12251","Hyderabad Airport"
"12252","Hydaburg Seaplane Base"
"12253","Hollis Seaplane Base"
"12254","Sawyer County"
"12255","Hays Regional"
"12257","Liping"
"12258","Husavik Airport"
"12259","Hazleton Regional"
"12260","Shenandoah Municipal"
"12261","Webster City Municipal"
"12262","Red Oak Municipal"
"12263","McConnell AFB"
"12264","Washington Dulles International"
"12265","Niagara Falls International"
"12266","George Bush Intercontinental/Houston"
"12267","In Amenas Airport"
"12268","Bob Baker Memorial"
"12269","Yaroslavl Airport"
"12270","Iasi International"
"12271","Ibadan Airport"
"12272","Perales"
"12273","Itambacuri Airport"
"12274","Ibiza Airport"
"12275","Cicia Airport"
"12276","Nieuw"
"12277","Incheon International"
"12278","Wichita Dwight D Eisenhower National"
"12279","Icy Bay Airport"
"12280","Idaho Falls Regional"
"12281","Indiana County"
"12282","Santa Isabel Do Morro Airport"
"12283","Independence Municipal"
"12284","Indore Airport"
"12285","Casement"
"12286","Babimost"
"12287","Zhuliany International"
"12288","Isafjordur Airport"
"12289","Innisfail Airport"
"12290","Shahid Beheshti International"
"12291","Ivano - Frankovska International"
"12293","Inagua Airport"
"12294","Igiugig Airport"
"12295","Ingham Airport"
"12296","Cigli"
"12297","Kingman Airport"
"12298","Maria Cristina"
"12299","Chigorodo Airport"
"12300","Cataratas"
"12302","Cataratas International"
"12303","Horace Williams"
"12304","Ihu Airport"
"12305","Rantoul National Aviation Center"
"12306","Lewis University"
"12307","De Kalb Taylor Municipal"
"12308","Logan County"
"12309","Ijui Airport"
"12310","Jacksonville Municipal"
"12311","Imam Khomaini International"
"12312","Wilkes County"
"12313","Iki Airport"
"12314","Greater Kankakee"
"12315","Nikolski AS"
"12316","Irkutsk Airport"
"12317","Ankeny Regional"
"12318","Nevatim AB"
"12319","Skylark Field"
"12320","New Castle"
"12321","Iliamna Airport"
"12322","Willmar Municipal"
"12323","Wilmington International"
"12324","Wilmington Air Park"
"12325","Iloilo Airport"
"12326","Ile Des Pins Moue"
"12327","Ilo Airport"
"12328","Ilorin Airport"
"12329","Islay Airport"
"12330","Zilina International"
"12331","Imphal Airport"
"12332","Imperial Municipal"
"12333","Immokalee Regional"
"12334","Imperatriz Airport"
"12335","Ford"
"12336","De Kalb County"
"12337","Indianapolis Executive"
"12338","Hedong"
"12339","Indianapolis International"
"12340","In Guezzam Airport"
"12341","Lago Argentino Airport"
"12342","Inhambane Airport"
"12343","Falls International Einarson Field"
"12344","Innsbruck Airport"
"12345","Inongo Airport"
"12347","Creech AFB"
"12348","Smith Reynolds"
"12349","Nauru Island"
"12350","Inverness Airport"
"12351","Winslow-Lindbergh Regional"
"12352","Ioannina Airport"
"12353","Isle of Man Airport"
"12354","Impfondo Airport"
"12355","Inishmore Airport"
"12356","Bahia-Jorge Amado"
"12357","Ile Ouen Airport"
"12358","Iowa City Municipal"
"12359","Mataveri International"
"12360","Ipil Airport"
"12361","Ipoh Sultan Azlan Shah"
"12362","San Luis"
"12363","Imperial County"
"12364","Usiminas"
"12365","Williamsport Regional"
"12366","Al Taqaddum AB"
"12367","Al Asad AB"
"12368","Diego Aracena International"
"12369","Coronel Francisco Secada Vignetta International"
"12370","Circle City"
"12371","Ishurdi Airport"
"12372","Iron Range Airport"
"12373","Iringa Airport"
"12374","Capitan Vicente A Almonacid"
"12375","Kirksville Regional"
"12376","Birao Airport"
"12377","Isiro Airport"
"12378","Sturgis Airport"
"12379","Roy E. Ray"
"12380","Mount Isa Airport"
"12381","Benazir Bhutto International"
"12382","Scilly Isles Airport"
"12383","Ishigaki Airport"
"12384","Ischia Airport"
"12385","Isisford Airport"
"12386","Isla Mujeres Airport"
"12387","Isabel Pass Airport"
"12388","Kissimmee Gateway"
"12389","Sloulin Field International"
"12390","Kinston Regional Jetport at Stallings Field"
"12391","Long Island MacArthur"
"12392","Schoolcraft County"
"12393","Istres Le Tube"
"12394","Wiscasset Airport"
"12395","Ataturk"
"12396","Alexander Field South Wood County"
"12397","Ithaca Tompkins Regional"
"12400","Osaka International"
"12401","Itabuna Airport"
"12402","Hilo International"
"12403","Itaqui Airport"
"12404","Niue International"
"12405","Inus Airport"
"12406","Ambanja/Ambalavelona"
"12407","Invercargill Airport"
"12408","Berane Airport"
"12409","Ivalo Airport"
"12410","Inverell Airport"
"12411","Ivanovo Airport"
"12412","Gogebic-Iron County"
"12413","Iwami Airport"
"12414","Iwoto Airport"
"12415","West Houston"
"12416","Agartala Airport"
"12417","Baghdogra"
"12418","Chandigarh Airport"
"12419","Allahabad Airport"
"12420","Mangalore International"
"12421","Belgaum Airport"
"12422","Kailashahar Airport"
"12423","North Lakhimpur/Lilabari"
"12424","Jammu Airport"
"12425","Keshod Airport"
"12426","Leh Airport"
"12427","Madurai Airport"
"12429","Kamalpur Airport"
"12430","Ranchi Airport"
"12431","Silchar Airport"
"12432","Aurangabad Airport"
"12433","Jamshedpur Airport"
"12434","Kandla Airport"
"12435","Port Blair Airport"
"12436","Inyokern Airport"
"12437","Izmir Metropolitan Area"
"12438","Izumo Airport"
"12439","Ixtepec Airport"
"12440","Jabiru Airport"
"12441","Jackson Hole"
"12442","Kankesanturai"
"12443","Shahbaz AB"
"12444","Jaipur Airport"
"12445","Perimeter Mall Helipad"
"12446","Jacmel Airport"
"12447","El Lencero"
"12448","Jackson Medgar Wiley Evers International"
"12449","Beaver Ruin"
"12450","Ilulissat"
"12451","Jacksonville International"
"12452","Boston City Heliport"
"12453","Berkeley Municipal Heliport"
"12454","Commerce Business Park Heliport"
"12455","Jonesboro Municipal"
"12456","Croisette Heliport"
"12457","China Basin Heliport"
"12458","Oakland Convention Center Heliport"
"12459","Christianshab Airport"
"12460","New Century Aircenter"
"12461","Julia Creek Airport"
"12462","Grant County Regional/Ogilvie Field"
"12463","Downtown Heliport"
"12464","Juiz"
"12465","Edgewater Inn Helipad Sea Wash"
"12466","Jodhpur Airport"
"12467","Miami Downtown Heliport"
"12468","Regional de Cariri"
"12469","Minneapolis Heliport"
"12470","Houston Central Business District Heliport"
"12472","King Abdulaziz International"
"12473","Jeremie Airport"
"12474","Jefferson City Memorial"
"12476","Jersey Airport"
"12477","Seattle 1st National.Bank Helipad"
"12478","John F. Kennedy International"
"12479","Northeast Ohio Regional"
"12481","Frederikshaab"
"12482","Jamnagar Airport"
"12483","Grand Canyon Heliport"
"12484","Williamsburg-Jamestown"
"12485","Galleria"
"12486","Greenway Plaza Heliport"
"12487","Transco Tower Galleria Heliport"
"12489","Senai International"
"12490","Island Heliport"
"12491","Helsingborg Heliport"
"12492","Kapalua Airport"
"12493","Sisimiut Airport"
"12494","Chautauqua County/Jamestown"
"12495","Cambridge Airport"
"12496","Djibouti Ambouli"
"12497","Civic Financial Center Heliport"
"12498","Ikaria"
"12499","Jilin Airport"
"12500","Aba Segud Negus Wolde Giorg"
"12501","Jinja Airport"
"12502","Juanjui Airport"
"12503","Jonkoping Airport"
"12504","Chios Airport"
"12505","Kalymnos Airport"
"12506","Janakpur Airport"
"12507","Jakarta Metropolitan Area"
"12508","Cherokee County"
"12509","Quartz Creek"
"12511","Joplin Regional"
"12512","Jabalpur Airport"
"12513","Astrodome"
"12514","Jamba Airport"
"12515","Marin County Heliport"
"12516","Mikonos"
"12517","Harbour Heliport"
"12518","Downtown Heliport"
"12519","Jamestown Regional"
"12520","Oliver Reginald Tambo International"
"12521","Nanortalik Airport"
"12522","Newport Beach Airport"
"12523","Juneau International"
"12524","Prince Hasan"
"12525","Al Shaheed Mwaffaq Salti Air Base"
"12526","Azraq Highway Strip"
"12527","Centerport Heliport"
"12528","Joensuu Airport"
"12529","Adisutjipto"
"12530","Port St Johns Airport"
"12531","Joinville Airport"
"12533","Jolo Airport"
"12534","Njombe Airport"
"12535","Johnston Atoll"
"12536","Orange County Heliport"
"12537","Yakubu Gowon"
"12539","Futenma MCAS"
"12540","Presidente Castro Pinto International"
"12541","Pan Am Building Heliport"
"12542","Ji Parana Airport"
"12543","Park Ten Helipad"
"12544","Concord Regional"
"12545","West 30th Street Heliport"
"12546","Downtown Manhattan/Wall Street Heliport"
"12547","Appache Heliport"
"12548","East 60th Street Heliport"
"12549","Kalaeloa"
"12550","Jorhat Airport"
"12551","Kilimanjaro International"
"12552","Jerusalem Airport"
"12553","Jose Aponte de la Torre"
"12554","Juneau Seaplane Base"
"12555","Alexandros Papadiamantis"
"12556","Crossroads Heliport"
"12557","Sodertalje Heliport"
"12558","Jessore Airport"
"12559","John Murtha Johnstown-Cambria County"
"12561","Dimitrios Vikelas"
"12563","Santorini Airport"
"12564","Juba Airport"
"12566","Jujuy Airport"
"12567","Juliaca Airport"
"12568","Jumla Airport"
"12570","Upernavik Airport"
"12571","Southern Wisconsin Regional"
"12573","Westchase Heliport"
"12574","John C Tune"
"12576","Jackson County-Reynolds Field"
"12577","Olympic Hotel Helipad Sea Wash"
"12578","Jyvaskyla Airport"
"12579","James H Easom Field"
"12580","Orange Municipal"
"12581","Stanley Municipal"
"12582","Ganda Airport"
"12583","Trading Bay Production"
"12585","Chamberlain Municipal"
"12586","Jui Zhai Huang Long"
"12587","Portland Municipal"
"12588","Sky Harbor"
"12589","Cloquet Carlton County"
"12590","San Clemente Island Nalf"
"12591","Hog River Airport"
"12592","Quincy Municipal"
"12593","American Falls Airport"
"12594","Prospect State"
"12595","Brooksville Tampa Bay Regional"
"12596","Laurel Municipal"
"12598","Arlington Municipal"
"12599","William H. Morse State"
"12600","North Little Rock Municipal"
"12601","Evergreen Regional Middleton Field"
"12602","Angwin-Parrett Field"
"12603","Idaho County"
"12604","Taszar Airport"
"12605","Russellville-Logan County"
"12606","Kasama Airport"
"12607","Kariba International"
"12608","Kamishly"
"12609","Kaduna Airport"
"12610","Kake Seaplane Base"
"12611","Kangung"
"12613","Kaieteur Airport"
"12614","Kajaani Airport"
"12615","Kaltag Airport"
"12616","Mallam Aminu Kano International"
"12617","Kuusamo Airport"
"12618","Kamarang Airport"
"12619","Kaitaia Airport"
"12620","Kawthaung Airport"
"12621","Birch Creek Airport"
"12622","Bell Island Hot Springs Seaplane Base"
"12623","Pakuba"
"12624","Klag Bay Airport"
"12625","Hamid Karzai International"
"12626","Kabalo Airport"
"12627","Boryspil International"
"12628","Sultan Ismail Petra"
"12629","Bo Airport"
