A 511,36.96220016479492,127.03099822998047
A Coruña,43.302101135253906,-8.377260208129883
Aachen-Merzbrück,50.823055267333984,6.186388969421387
Aalborg,57.0927589138,9.84924316406
Aalen-Heidenheim/Elchingen,48.77777862548828,10.264721870422363
Aarhus,56.2999992371,10.619000434899998
Aasiaat,68.7218017578,-52.7846984863
Aba Tenna Dejazmach Yilma International,9.624699592590332,41.85419845581055
Abaco I Walker C,27.266700744628906,-78.39969635009766
Abadan,30.371099472,48.2282981873
Abaiang,1.798609972000122,173.04100036621094
Abakan,53.7400016784668,91.38500213623047
Abbeville,50.143501,1.831891
Abbotsford,49.025299072265625,-122.36100006103516
Abdul Rachman Saleh,-7.926559925079999,112.714996338
Abeche,13.847000122070312,20.84429931640625
Abeid Amani Karume International,-6.222020149229999,39.224899292
Abel Santamaria,22.49220085144043,-79.943603515625
Abemama Atoll,0.49083301424980164,173.82899475097656
Aberdeen Dyce,57.201900482177734,-2.197779893875122
Aberdeen Regional,45.449100494384766,-98.42179870605469
Abha Regional,18.240400314299997,42.65660095210001
Abilene Regional,32.4113006592,-99.68190002440001
Abqaiq,25.911300659179688,49.59120178222656
Abraham González International,31.63610076904297,-106.42900085449219
Abraham Lincoln Capital,39.84410095,-89.67790222
Abu Dhabi International,24.433000564575195,54.651100158691406
Abu Simbel,22.375999450699997,31.611700058
Abumusa Island,25.875699996948242,55.03300094604492
Acadiana Regional,30.0378,-91.883904
Achinsk,56.2682991027832,90.57080078125
Achmad Yani,-6.97273,110.375
Ada Municipal,34.8042984009,-96.67130279540001
Adak,51.87799835205078,-176.64599609375
Adamovka,51.5,59.936111
Adana,36.9822006226,35.280399322499996
Addis Ababa Bole International,8.97789001465,38.799301147499996
Addison,32.9686012268,-96.8364028931
Adelaide International,-34.94499969482422,138.531005859375
Adelaide Parafield,-34.793300628699996,138.632995605
Aden Adde International,2.0144400596618652,45.3046989440918
Aden International,12.829500198364258,45.02880096435547
Adi Sumarmo Wiryokusumo,-7.516089916229248,110.75700378417969
Adi Sutjipto International,-7.788179874420166,110.43199920654297
Adirondack Regional,44.38529968261719,-74.2061996459961
Adnan Menderes International,38.2924003601,27.156999588
Adolf Würth,49.1183319092,9.783888816829998
Adolfo Suárez Madrid–Barajas,40.471926,-3.56264
Adıyaman,37.7313995361,38.4688987732
Aek Godang,1.4001,99.430496
Aeroclube,-22.74530029296875,-43.46030044555664
Aeropuerto \General Tomas de Heres\". Ciudad Bolivar",8.12216091156,-63.5369567871
Aerotortuguero,10.42,-83.6095
Afobakka Airstrip,4.998505,-54.992033
Afonso Pena,-25.5284996033,-49.1758003235
Afutara Aerodrome,-9.19138888889,160.948611111
Afyon,38.726398468,30.6011009216
Agartala,23.8869991302,91.24040222170001
Agatti,10.823699951171875,72.1760025024414
Agen-La Garenne,44.17470169067383,0.5905560255050659
Aggeneys,-29.28179931640625,18.813899993896484
Aghajari,30.7444,49.6772
Agra,27.155799865722656,77.96089935302734
Agrinion Air Base,38.602001,21.3512001
Aguas Claras,8.31506,-73.3583
Aguenar – Hadj Bey Akhamok,22.8115005493,5.45107984543
Aguni,26.5925006866,127.240997314
Ahe,-14.428099632263184,-146.2570037841797
Ahmed Al Jaber Air Base,28.9347991943,47.791900634799994
Ahuas,15.4722,-84.352203
Ahwaz,31.337400436399996,48.7620010376
Aiken Municipal,33.6493988037,-81.68499755859999
Ain Arnat,36.178100585900005,5.3244900703399995
Ain Oussera,35.52539825439453,2.8787100315093994
Ain el Beida,31.917200088500977,5.412779808044434
Aioun el Atrouss,16.711299896240234,-9.637880325317383
Aire-sur-l'Adour,43.70940017700195,-0.245278000831604
Airport Bamberg-Breitenau,49.920403,10.914233
Aitutaki,-18.830900192260742,-159.76400756835938
Aix-en-Provence (BA 114),43.5056,5.36778
Ajaccio-Napoléon Bonaparte,41.92359924316406,8.8029203414917
Ak Bashat,42.88958,73.602004
Ak-Chin Regional,32.9908056,-111.9185278
Akanu Ibiam International,6.474269866943359,7.561960220336914
Akeno,34.53329849243164,136.6719970703125
Akhiok,56.9387016296,-154.182998657
Akhisar,38.80889892578125,27.833900451660156
Akiak,60.9029006958,-161.231002808
Akita,39.6156005859375,140.218994140625
Aklavik/Freddie Carmichael,68.223297,-135.00599
Akola,20.698999404907227,77.05860137939453
Akron Canton Regional,40.916099548339844,-81.44219970703125
Akron Fulton International,41.0374984741,-81.4669036865
Aksu,41.262501,80.291702
Aktau,43.86009979248047,51.09199905395508
Aktion National,38.925498962402344,20.765300750732422
Aktobe,50.24580001831055,57.20669937133789
Akulivik,60.818599700927734,-78.14859771728516
Akure,7.246739864349365,5.3010101318359375
Akureyri,65.66000366210938,-18.07270050048828
Akutan Seaplane Base,54.1337704415,-165.778895617
Akwa Ibom International,4.8725,8.093
Akıncı Air Base,40.078899383499994,32.5656013489
Al Ahsa,25.28529930114746,49.485198974609375
Al Ain International,24.261699676513672,55.60919952392578
Al Asad Air Base,33.7855987549,42.4412002563
Al Badie,18.71929931640625,50.83689880371094
Al Baha,20.2961006165,41.6343002319
Al Dhafra Air Base,24.248199462900004,54.547698974599996
Al Ghaidah International,16.191699981689453,52.17499923706055
Al Hamra Aux,24.073999404907227,52.463600158691406
Al Maktoum International,24.896356,55.161389
Al Massira,30.325000762939453,-9.413069725036621
Al Minhad Air Base,25.0268001556,55.3661994934
Al Najaf International,31.989853,44.404317
Al Qaisumah/Hafr Al Batin,28.335199,46.125099
Al Sahra Army Air Field,34.67319869995117,43.542999267578125
Al Taji Army Air Field,33.52389907836914,44.25669860839844
